"file","simulator","depth_label","dropout","separability","n_cells_target","batch","gene_strategy","clipping","is_null_control","error"
"data/simulated/sce/scdesign3/scdesign3_sce_run_00160.rds","scdesign3","2000","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00161.rds","scdesign3","10000","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00162.rds","scdesign3","10000","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00163.rds","scdesign3","10000","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00164.rds","scdesign3","10000","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00165.rds","scdesign3","10000","low","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00166.rds","scdesign3","500","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00167.rds","scdesign3","500","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00168.rds","scdesign3","500","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00169.rds","scdesign3","500","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00170.rds","scdesign3","500","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00171.rds","scdesign3","2000","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00172.rds","scdesign3","2000","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00173.rds","scdesign3","2000","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00174.rds","scdesign3","2000","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00175.rds","scdesign3","2000","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00176.rds","scdesign3","10000","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00177.rds","scdesign3","10000","high","low","1000","none","all","none","FALSE",NA
"data/simulated/sce/scdesign3/scdesign3_sce_run_00178.rds","scdesign3","10000","high","low","1000","none","all","none","FALSE",NA
