"file","simulator","run_id","sparsity_label","stored_achieved_sparsity","recomputed_zero_frac","n_genes","n_cells","error","deviation","stored_vs_recomputed_diff"
"data/simulated/sce/scdesign3/scdesign3_sce_run_00196.rds","scdesign3",196,0.7,0.9551,0.9550975,2000,1000,NA,0.2550975,2.49999999990536e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00197.rds","scdesign3",197,0.8,0.9618,0.9617725,2000,1000,NA,0.1617725,2.74999999999581e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00198.rds","scdesign3",198,0.9,0.9709,0.970851,2000,1000,NA,0.070851,4.89999999999657e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00201.rds","scdesign3",201,0.7,0.8773,0.8773005,2000,1000,NA,0.1773005,5.00000000069889e-07
"data/simulated/sce/scdesign3/scdesign3_sce_run_00202.rds","scdesign3",202,0.8,0.8955,0.8954525,2000,1000,NA,0.0954524999999999,4.74999999999781e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00206.rds","scdesign3",206,0.7,0.8764,0.8764425,2000,1000,NA,0.1764425,4.25000000000564e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00207.rds","scdesign3",207,0.8,0.8948,0.8948465,2000,1000,NA,0.0948464999999999,4.64999999999494e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00211.rds","scdesign3",211,0.7,0.97,0.970022,2000,1000,NA,0.270022,2.20000000000775e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00212.rds","scdesign3",212,0.8,0.9746,0.97457,2000,1000,NA,0.17457,2.99999999999745e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00213.rds","scdesign3",213,0.9,0.9807,0.980654,2000,1000,NA,0.080654,4.59999999999905e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00214.rds","scdesign3",214,0.95,0.9866,0.98655,2000,1000,NA,0.0365500000000001,4.99999999999945e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00216.rds","scdesign3",216,0.7,0.9184,0.918373,2000,1000,NA,0.218373,2.69999999999992e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00217.rds","scdesign3",217,0.8,0.9303,0.930276,2000,1000,NA,0.130276,2.4000000000024e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00218.rds","scdesign3",218,0.9,0.9469,0.9468985,2000,1000,NA,0.0468985,1.49999999998762e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00221.rds","scdesign3",221,0.7,0.9178,0.917821,2000,1000,NA,0.217821,2.10000000000488e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00222.rds","scdesign3",222,0.8,0.9301,0.930075,2000,1000,NA,0.130075,2.50000000000528e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00223.rds","scdesign3",223,0.9,0.9465,0.946512,2000,1000,NA,0.046512,1.2000000000012e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00226.rds","scdesign3",226,0.7,0.9446,0.9446485,2000,1000,NA,0.2446485,4.85000000000069e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00227.rds","scdesign3",227,0.8,0.9531,0.9530735,2000,1000,NA,0.1530735,2.64999999999294e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00228.rds","scdesign3",228,0.9,0.9641,0.964065,2000,1000,NA,0.0640649999999999,3.50000000000072e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00231.rds","scdesign3",231,0.7,0.8527,0.8527475,2000,1000,NA,0.1527475,4.74999999999781e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00232.rds","scdesign3",232,0.8,0.8747,0.8746945,2000,1000,NA,0.0746945,5.49999999999162e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00236.rds","scdesign3",236,0.7,0.8524,0.852379,2000,1000,NA,0.152379,2.10000000000488e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00237.rds","scdesign3",237,0.8,0.8746,0.8746455,2000,1000,NA,0.0746454999999999,4.54999999999206e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00241.rds","scdesign3",241,0.7,0.9502,0.950212,2000,1000,NA,0.250212,1.1999999999901e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00242.rds","scdesign3",242,0.8,0.9577,0.957663,2000,1000,NA,0.157663,3.69999999999537e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00243.rds","scdesign3",243,0.9,0.9675,0.9675485,2000,1000,NA,0.0675485,4.85000000000069e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00246.rds","scdesign3",246,0.7,0.8674,0.8674155,2000,1000,NA,0.1674155,1.55000000000571e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00247.rds","scdesign3",247,0.8,0.8872,0.887209,2000,1000,NA,0.087209,9.00000000003676e-06
"data/simulated/sce/scdesign3/scdesign3_sce_run_00251.rds","scdesign3",251,0.7,0.8671,0.8671335,2000,1000,NA,0.1671335,3.35000000000196e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00252.rds","scdesign3",252,0.8,0.887,0.8869545,2000,1000,NA,0.0869544999999999,4.55000000000316e-05
"data/simulated/sce/scdesign3/scdesign3_sce_run_00256.rds","scdesign3",256,0.7,0.9668,0.9668455,2000,1000,NA,0.2668455,4.55000000000316e-05
