"source","run_id","method","status","subspace_recovery_score_samegenes","grassmann_distance_samegenes","n_genes_used_samegenes","subspace_recovery_score","grassmann_distance","recovery_score_delta"
"splatter",267,"pca_log","ok",0.637609420881337,1.20397770597078,3000,0.638613143477229,1.20230920569173,-0.00100372259589177
"splatter",267,"pca_raw","ok",0.746279806017172,1.00741291233104,3000,0.745761245628063,1.00844187610777,0.000518560389109135
"splatter",267,"pca_shiftedlog","ok",0.819000599863197,0.850880485466209,3000,0.796349460330324,0.902553133437974,0.0226511395328729
"splatter",268,"pca_libnorm","ok",0.924485855362728,0.549596741756251,3000,0.923034774945164,0.554852142664461,0.00145108041756425
"splatter",268,"pca_log","ok",0.608688188383767,1.25109841597891,3000,0.606442373830057,1.2546834280725,0.00224581455370965
"splatter",268,"pca_raw","ok",0.681371982683198,1.12894289902865,3000,0.680972676372894,1.1296500761335,0.000399306310304159
"splatter",268,"pca_shiftedlog","ok",0.769977319659973,0.959213595274853,3000,0.747520237333397,1.00494728750637,0.0224570823265757
"splatter",269,"pca_libnorm","ok",0.523762155837026,1.38019975969129,3000,0.518791603709355,1.38738371951042,0.00497055212767117
"splatter",269,"pca_log","ok",0.629516676328297,1.2173468259649,3000,0.617284940646413,1.23727936918642,0.0122317356818843
"splatter",269,"pca_raw","ok",0.406821706532699,1.54036137768681,3000,0.406568598890713,1.54068997674326,0.000253107641986383
"splatter",269,"pca_shiftedlog","ok",0.782166634804863,0.933452441627611,3000,0.754179584184955,0.991605598643019,0.0279870506199077
"splatter",270,"pca_libnorm","ok",0.305182145967665,1.66711469795253,3000,0.30091444157092,1.67222672915975,0.00426770439674479
"splatter",270,"pca_log","ok",0.592961273662156,1.27599173404508,3000,0.570687523826275,1.31043882142391,0.0222737498358812
"splatter",270,"pca_raw","ok",0.22265799725942,1.76334001569814,3000,0.222415979920954,1.76361449311242,0.000242017338466377
"splatter",270,"pca_shiftedlog","ok",0.76610298019048,0.967258021025456,3000,0.728960993811678,1.04122813290522,0.0371419863788017
"symsim",166,"pca_libnorm","ok",0.481000014248848,1.44083307256761,2000,0.481000014248848,1.44083307256761,-1.66533453693773e-16
"symsim",166,"pca_log","ok",0.166471378086727,1.82595577373963,2000,0.166471378086727,1.82595577373963,-3.33066907387547e-16
"symsim",166,"pca_raw","ok",0.48798894026815,1.43109896196154,2000,0.48798894026815,1.43109896196154,-3.88578058618805e-16
"symsim",166,"pca_shiftedlog","ok",0.268593612479324,1.71044600911069,2000,0.268593612479324,1.71044600911069,-5.55111512312578e-17
"symsim",167,"pca_libnorm","ok",0.452839152735371,1.47940643132931,2000,0.452839152735371,1.47940643132931,-3.88578058618805e-16
"symsim",167,"pca_log","ok",0.344846680034703,1.61883083732093,2000,0.344846680034703,1.61883083732093,1.11022302462516e-16
"symsim",167,"pca_raw","ok",0.464174727072757,1.46400173897061,2000,0.464174727072757,1.46400173897061,-3.88578058618805e-16
"symsim",167,"pca_shiftedlog","ok",0.316475055022478,1.65351134858824,2000,0.316475055022478,1.65351134858824,5.55111512312578e-17
"symsim",168,"pca_libnorm","ok",0.463770135972455,1.46455435409894,2000,0.463770135972455,1.46455435409895,4.9960036108132e-16
"symsim",168,"pca_log","ok",0.320026019263296,1.64921069695379,2000,0.320026019263297,1.64921069695379,-6.10622663543836e-16
"symsim",168,"pca_raw","ok",0.442353529416032,1.4935146073393,2000,0.442353529416032,1.4935146073393,-1.66533453693773e-16
"symsim",168,"pca_shiftedlog","ok",0.402179619556345,1.54637690159114,2000,0.402179619556345,1.54637690159114,2.22044604925031e-16
"symsim",169,"pca_libnorm","ok",0.462905414949839,1.46573474414733,2000,0.462905414949839,1.46573474414733,1.66533453693773e-16
"symsim",169,"pca_log","ok",0.306791404717264,1.66518298728126,2000,0.306791404717264,1.66518298728126,-4.9960036108132e-16
"symsim",169,"pca_raw","ok",0.438723115033796,1.49836829246511,2000,0.438723115033796,1.49836829246511,2.77555756156289e-16
"symsim",169,"pca_shiftedlog","ok",0.443375344869341,1.49214564320064,2000,0.44337534486934,1.49214564320064,8.88178419700125e-16
"symsim",170,"pca_libnorm","ok",0.460740837003626,1.46868534818915,2000,0.460740837003626,1.46868534818915,-3.88578058618805e-16
"symsim",170,"pca_log","ok",0.291366486821345,1.68360745208455,2000,0.291366486821345,1.68360745208455,-3.33066907387547e-16
"symsim",170,"pca_raw","ok",0.468183374748217,1.45851516996126,2000,0.468183374748217,1.45851516996126,-1.66533453693773e-16
"symsim",170,"pca_shiftedlog","ok",0.439189327227831,1.49774586999553,2000,0.43918932722783,1.49774586999553,6.66133814775094e-16
"symsim",171,"pca_libnorm","ok",0.320645249491446,1.6484595845923,2000,0.320645249491446,1.6484595845923,5.55111512312578e-17
"symsim",171,"pca_log","ok",0.130608396368931,1.86482342717059,2000,0.130608396368931,1.86482342717059,-1.66533453693773e-16
"symsim",171,"pca_raw","ok",0.312792440975994,1.65795966057562,2000,0.312792440975994,1.65795966057562,-2.22044604925031e-16
"symsim",171,"pca_shiftedlog","ok",0.215923636018661,1.77096173192008,2000,0.21592363601866,1.77096173192008,7.49400541621981e-16
"symsim",172,"pca_libnorm","ok",0.274988354086888,1.70295231396902,2000,0.274988354086887,1.70295231396902,6.10622663543836e-16
"symsim",172,"pca_log","ok",0.137896149780491,1.85699095336462,2000,0.137896149780491,1.85699095336462,1.94289029309402e-16
"symsim",172,"pca_raw","ok",0.3108662197671,1.66028163903947,2000,0.3108662197671,1.66028163903947,-5.55111512312578e-17
"symsim",172,"pca_shiftedlog","ok",0.241553225030861,1.74177699487522,2000,0.241553225030861,1.74177699487522,-1.66533453693773e-16
"symsim",173,"pca_libnorm","ok",0.263830213823205,1.71600674378255,2000,0.263830213823205,1.71600674378255,0
"symsim",173,"pca_log","ok",0.172354046440316,1.81950097945528,2000,0.172354046440316,1.81950097945528,3.60822483003176e-16
"symsim",173,"pca_raw","ok",0.319187288277712,1.65022751367475,2000,0.319187288277712,1.65022751367475,-4.44089209850063e-16
"symsim",173,"pca_shiftedlog","ok",0.286147072305976,1.68979635186495,2000,0.286147072305977,1.68979635186495,-5.55111512312578e-16
"symsim",174,"pca_libnorm","ok",0.255729629952719,1.7254221165237,2000,0.255729629952719,1.7254221165237,-2.77555756156289e-16
"symsim",174,"pca_log","ok",0.239097186702183,1.74459486792529,2000,0.239097186702183,1.74459486792529,2.4980018054066e-16
"symsim",174,"pca_raw","ok",0.329705371036998,1.63743046137905,2000,0.329705371036998,1.63743046137905,-5.55111512312578e-17
"symsim",174,"pca_shiftedlog","ok",0.257007624317032,1.72394010996086,2000,0.257007624317032,1.72394010996086,0
"symsim",175,"pca_libnorm","ok",0.246484836343158,1.73610502407757,2000,0.246484836343159,1.73610502407757,-4.9960036108132e-16
