"run_id","sparsity","depth","dropout","separability","n_cells","n_groups","batch","gene_strategy","clipping","is_null_control"
185,0.98,500,"none","medium",1000,5,"none","all","none",FALSE
186,0.7,2000,"none","medium",1000,5,"none","all","none",FALSE
187,0.8,2000,"none","medium",1000,5,"none","all","none",FALSE
188,0.9,2000,"none","medium",1000,5,"none","all","none",FALSE
189,0.95,2000,"none","medium",1000,5,"none","all","none",FALSE
190,0.98,2000,"none","medium",1000,5,"none","all","none",FALSE
191,0.7,10000,"none","medium",1000,5,"none","all","none",FALSE
192,0.8,10000,"none","medium",1000,5,"none","all","none",FALSE
193,0.9,10000,"none","medium",1000,5,"none","all","none",FALSE
194,0.95,10000,"none","medium",1000,5,"none","all","none",FALSE
195,0.98,10000,"none","medium",1000,5,"none","all","none",FALSE
196,0.7,500,"high","medium",1000,5,"none","all","none",FALSE
197,0.8,500,"high","medium",1000,5,"none","all","none",FALSE
198,0.9,500,"high","medium",1000,5,"none","all","none",FALSE
199,0.95,500,"high","medium",1000,5,"none","all","none",FALSE
200,0.98,500,"high","medium",1000,5,"none","all","none",FALSE
201,0.7,2000,"high","medium",1000,5,"none","all","none",FALSE
202,0.8,2000,"high","medium",1000,5,"none","all","none",FALSE
203,0.9,2000,"high","medium",1000,5,"none","all","none",FALSE
204,0.95,2000,"high","medium",1000,5,"none","all","none",FALSE
205,0.98,2000,"high","medium",1000,5,"none","all","none",FALSE
206,0.7,10000,"high","medium",1000,5,"none","all","none",FALSE
207,0.8,10000,"high","medium",1000,5,"none","all","none",FALSE
208,0.9,10000,"high","medium",1000,5,"none","all","none",FALSE
209,0.95,10000,"high","medium",1000,5,"none","all","none",FALSE
210,0.98,10000,"high","medium",1000,5,"none","all","none",FALSE
211,0.7,500,"low","medium",1000,5,"none","all","none",FALSE
212,0.8,500,"low","medium",1000,5,"none","all","none",FALSE
213,0.9,500,"low","medium",1000,5,"none","all","none",FALSE
214,0.95,500,"low","medium",1000,5,"none","all","none",FALSE
215,0.98,500,"low","medium",1000,5,"none","all","none",FALSE
216,0.7,2000,"low","medium",1000,5,"none","all","none",FALSE
217,0.8,2000,"low","medium",1000,5,"none","all","none",FALSE
218,0.9,2000,"low","medium",1000,5,"none","all","none",FALSE
219,0.95,2000,"low","medium",1000,5,"none","all","none",FALSE
220,0.98,2000,"low","medium",1000,5,"none","all","none",FALSE
221,0.7,10000,"low","medium",1000,5,"none","all","none",FALSE
222,0.8,10000,"low","medium",1000,5,"none","all","none",FALSE
223,0.9,10000,"low","medium",1000,5,"none","all","none",FALSE
224,0.95,10000,"low","medium",1000,5,"none","all","none",FALSE
225,0.98,10000,"low","medium",1000,5,"none","all","none",FALSE
226,0.7,500,"none","high",1000,5,"none","all","none",FALSE
227,0.8,500,"none","high",1000,5,"none","all","none",FALSE
228,0.9,500,"none","high",1000,5,"none","all","none",FALSE
229,0.95,500,"none","high",1000,5,"none","all","none",FALSE
230,0.98,500,"none","high",1000,5,"none","all","none",FALSE
231,0.7,2000,"none","high",1000,5,"none","all","none",FALSE
232,0.8,2000,"none","high",1000,5,"none","all","none",FALSE
233,0.9,2000,"none","high",1000,5,"none","all","none",FALSE
234,0.95,2000,"none","high",1000,5,"none","all","none",FALSE
235,0.98,2000,"none","high",1000,5,"none","all","none",FALSE
236,0.7,10000,"none","high",1000,5,"none","all","none",FALSE
237,0.8,10000,"none","high",1000,5,"none","all","none",FALSE
238,0.9,10000,"none","high",1000,5,"none","all","none",FALSE
239,0.95,10000,"none","high",1000,5,"none","all","none",FALSE
240,0.98,10000,"none","high",1000,5,"none","all","none",FALSE
