"axis","simulator","method","failure_mode","threshold_status","threshold_value","mean_flag_rate","min_flag_rate","max_flag_rate","alignment"
"sparsity","symsim","pca_log","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.990123456790123,0.97119341563786,1,"consistent_uniform_high"
"sparsity","symsim","pca_raw","step6_1_technical_separation","interpolated",0.83064756198583,0.271147690900777,0.0077732053040695,0.476451760402378,"inconsistent_not_increasing"
"sparsity","symsim","pca_raw","step6_2_cluster_collapse","interpolated",0.83064756198583,0.995884773662551,0.979423868312757,1,"consistent_increasing"
"sparsity","symsim","pca_raw","step6_3_phantom_clustering","interpolated",0.83064756198583,1,1,1,"inconsistent_not_increasing"
"sparsity","symsim","pca_raw","step6_4_variance_hijacking","interpolated",0.83064756198583,0.641975308641975,0.337448559670782,0.777777777777778,"inconsistent_not_increasing"
"sparsity","symsim","pca_raw","step6_6_neighborhood_collapse","interpolated",0.83064756198583,0.981893004115226,0.925925925925926,1,"consistent_increasing"
"sparsity","symsim","pca_raw","step6_7_subspace_rotation_slippage","interpolated",0.83064756198583,0.482304526748971,0.432098765432099,0.534979423868313,"inconsistent_not_increasing"
"sparsity","symsim","pca_sctransform_v2","step6_1_technical_separation","always_below_threshold",NA,0.463465935070873,0.353909465020576,0.632830361225423,"inconsistent_low_flag_despite_always_failing"
"sparsity","symsim","pca_sctransform_v2","step6_2_cluster_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"sparsity","symsim","pca_sctransform_v2","step6_3_phantom_clustering","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"sparsity","symsim","pca_sctransform_v2","step6_4_variance_hijacking","always_below_threshold",NA,0.681481481481481,0.666666666666667,0.711934156378601,"consistent_uniform_high"
"sparsity","symsim","pca_sctransform_v2","step6_6_neighborhood_collapse","always_below_threshold",NA,0.947325102880658,0.831275720164609,1,"consistent_uniform_high"
"sparsity","symsim","pca_sctransform_v2","step6_7_subspace_rotation_slippage","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"sparsity","symsim","pca_shiftedlog","step6_1_technical_separation","always_below_threshold",NA,0.334979423868313,0.333333333333333,0.337448559670782,"inconsistent_low_flag_despite_always_failing"
"sparsity","symsim","pca_shiftedlog","step6_2_cluster_collapse","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"sparsity","symsim","pca_shiftedlog","step6_3_phantom_clustering","always_below_threshold",NA,1,1,1,"consistent_uniform_high"
"sparsity","symsim","pca_shiftedlog","step6_4_variance_hijacking","always_below_threshold",NA,0.677366255144033,0.666666666666667,0.683127572016461,"consistent_uniform_high"
"sparsity","symsim","pca_shiftedlog","step6_6_neighborhood_collapse","always_below_threshold",NA,0.693827160493827,0.654320987654321,0.724279835390947,"consistent_uniform_high"
"sparsity","symsim","pca_shiftedlog","step6_7_subspace_rotation_slippage","always_below_threshold",NA,0.958847736625514,0.917695473251029,1,"consistent_uniform_high"
"depth","scdesign3","pca_glmpca","step6_1_technical_separation","always_below_threshold",NA,0,0,0,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_glmpca","step6_2_cluster_collapse","always_below_threshold",NA,0.852674897119342,0.753086419753086,0.982716049382716,"consistent_uniform_high"
"depth","scdesign3","pca_glmpca","step6_4_variance_hijacking","always_below_threshold",NA,0.0246913580246914,0,0.0740740740740741,"inconsistent_low_flag_despite_always_failing"
"depth","scdesign3","pca_glmpca","step6_6_neighborhood_collapse","always_below_threshold",NA,0.99917695473251,0.997530864197531,1,"consistent_uniform_high"
