"method","source","run_id","replicate","sparsity","n_cells","embedding_dim","ari_vs_random","ch_index","ch_noise_95pct","phantom_flag_ari","phantom_flag_ch_literal","phantom_flag_ch_relative","phantom_flag_any_relative","status","error_msg"
"pca_libnorm","scdesign3",10939,3,0.95,1000,30,-0.00116966521228031,216.845199119838,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10940,1,0.98,1000,30,-0.00117189790461239,222.218523451603,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10940,2,0.98,1000,30,-0.00103826602796724,221.246675713879,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","scdesign3",10940,3,0.98,1000,30,-0.00184568232962887,215.372615955811,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10936,1,0.7,1000,30,0.000302871249681666,298.281278797661,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10936,2,0.7,1000,30,0.000776320151847074,312.005292456936,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10936,3,0.7,1000,30,-0.000194370348918744,321.493922848211,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10937,1,0.8,1000,30,0.000681414167467692,269.727142907047,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10937,2,0.8,1000,30,0.00051097400628387,234.679481219014,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10937,3,0.8,1000,30,0.0024259717850842,259.973428006528,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10938,1,0.9,1000,30,-0.00146912808981784,319.424108037594,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10938,2,0.9,1000,30,0.00220249223534681,273.38635571923,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10938,3,0.9,1000,30,0.00276940857154722,290.105970848127,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10939,1,0.95,1000,30,-0.00168236316339662,401.992796834549,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10939,2,0.95,1000,30,-0.00155415212415584,343.241889667714,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10939,3,0.95,1000,30,0.000992667073042437,341.214255313724,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10940,1,0.98,1000,30,-0.000502921300170186,401.700112368696,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10940,2,0.98,1000,30,0.00176329610658725,408.506277494203,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_libnorm","symsim",10940,3,0.98,1000,30,-0.000671041631070409,364.120116250035,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","splatter",10936,1,0.7,1000,30,0.00496131455208269,30.3738786483185,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","splatter",10936,2,0.7,1000,30,-0.000291905045937203,30.6699766995554,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","splatter",10936,3,0.7,1000,30,-0.000790124411107398,31.0527332045555,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","splatter",10937,1,0.8,1000,30,-0.0011411326793439,28.7553305164109,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","splatter",10937,2,0.8,1000,30,0.000171060904008274,28.6486260330252,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","splatter",10937,3,0.8,1000,30,-0.000565399405246049,28.061759854105,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","splatter",10938,1,0.9,1000,30,0.00234860622975907,24.5422965766115,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_log","splatter",10938,2,0.9,1000,30,-0.000182400769054998,25.131735168508,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_log","splatter",10938,3,0.9,1000,30,-0.000116412849317984,24.2545252501759,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_log","splatter",10939,1,0.95,1000,30,0.00081114955020464,23.576357811544,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_log","splatter",10939,2,0.95,1000,30,0.000830697640282749,23.2294078386151,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_log","splatter",10939,3,0.95,1000,30,-0.000371586458982376,23.5074318517537,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_log","splatter",10940,1,0.98,1000,30,0.00157816525915205,23.7632808296829,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_log","splatter",10940,2,0.98,1000,30,-0.00100670141088237,25.1934396656928,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_log","splatter",10940,3,0.98,1000,30,-0.000858773638634392,24.3880428601545,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_log","scdesign3",10936,1,0.7,1000,30,0.000616854753565054,44.1222324282212,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10936,2,0.7,1000,30,-0.00148317071511152,42.0144411752927,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10936,3,0.7,1000,30,0.00271722234004764,40.459640653808,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10937,1,0.8,1000,30,-0.000203446346703899,37.4640459688782,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10937,2,0.8,1000,30,0.00102158365604728,39.6946271669235,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10937,3,0.8,1000,30,0.000960972506198703,37.9984902582943,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10938,1,0.9,1000,30,-0.000605961178187564,37.3256506723773,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10938,2,0.9,1000,30,-5.63084721093681e-05,37.8771587696593,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10938,3,0.9,1000,30,-0.00104383646722096,37.9781868978737,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10939,1,0.95,1000,30,-0.00108768299425456,36.9508963936665,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10939,2,0.95,1000,30,0.001586133303655,36.9219727492931,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10939,3,0.95,1000,30,-0.00117624916651304,36.356040818472,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10940,1,0.98,1000,30,-0.000856552166586115,41.2650977166789,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10940,2,0.98,1000,30,-0.000297395394323452,40.094001774961,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","scdesign3",10940,3,0.98,1000,30,-0.00171033731378334,39.4735544303123,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10936,1,0.7,1000,30,0.000355926210416082,38.2621034189344,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10936,2,0.7,1000,30,0.00182606274640915,46.8926131767066,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10936,3,0.7,1000,30,-0.00103021396605235,38.6260406237393,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10937,1,0.8,1000,30,0.00152886399271771,34.8625558938269,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10937,2,0.8,1000,30,0.000351024580447182,44.7250197862671,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10937,3,0.8,1000,30,-0.000180050523755081,36.1332031998584,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10938,1,0.9,1000,30,0.000124377689299661,44.3079150797494,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10938,2,0.9,1000,30,-0.00105398467214093,46.3995843538092,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10938,3,0.9,1000,30,0.000634156463097816,44.2976523577289,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10939,1,0.95,1000,30,-0.00134379845414761,45.1725860164647,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10939,2,0.95,1000,30,-0.000868923262151446,46.4475761296134,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10939,3,0.95,1000,30,0.000565702172111207,44.2622733328027,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10940,1,0.98,1000,30,0.000325254296380407,47.9002490704618,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10940,2,0.98,1000,30,0.000966587483709921,49.6118974074928,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_log","symsim",10940,3,0.98,1000,30,0.000340831640112648,48.5164030093551,27.7877163071996,FALSE,TRUE,TRUE,TRUE,"ok",NA
"pca_shiftedlog","splatter",10936,2,0.7,1000,30,-0.00123199562179338,22.6207051894957,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_shiftedlog","splatter",10936,3,0.7,1000,30,-0.000302034794459193,22.513476715071,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_shiftedlog","splatter",10936,1,0.7,1000,30,-0.000771626244420516,22.573070080687,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_shiftedlog","splatter",10937,2,0.8,1000,30,0.000991110823265754,22.5799643507553,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_shiftedlog","splatter",10937,3,0.8,1000,30,-0.000244482158596187,22.7255619702979,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_shiftedlog","splatter",10937,1,0.8,1000,30,0.00102163001133269,22.6020226957553,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_shiftedlog","splatter",10938,2,0.9,1000,30,0.000571297640778589,23.6352583579346,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
"pca_shiftedlog","splatter",10938,3,0.9,1000,30,0.000591399072226422,24.5615477826114,27.7877163071996,FALSE,TRUE,FALSE,FALSE,"ok",NA
